Date,WJ,CITIC,GY,EB,SH,BJ,ID(XY),CS,NJ,HZ,JS,WX,Merchants,MS,HX,PD,BOC,HS,CRCB,BANKCOMM,JY,NB,PSBC,ICBC,ABC,CCB,PA
2011/1/11,,3.565844,,2.742707,,2.934143,6.631346,,2.070374,,,,8.922266,2.307274,4.082603,4.54169,2.344221,,2.989281,4.3598,,6.214291,,3.531266,2.318325,4.287389,
2011/1/12,,3.599612,,2.755894,,2.997924,6.846303,,2.097877,,,,8.976327,2.320792,4.175067,4.572193,2.383667,,3.051884,4.381652,,6.284119,,3.555248,2.335712,4.347774,
2011/1/13,,3.579355,,2.696557,,2.980752,6.778038,,2.07823,,,,8.929024,2.316282,4.146614,4.521352,2.411843,,2.994498,4.414429,,6.158434,,3.609206,2.318325,4.40816,
2011/1/14,,3.532075,,2.630626,,2.924327,6.598465,,2.044837,,,,8.827518,2.298261,4.107495,4.453569,2.423113,,2.978847,4.370726,,5.752030425,,3.645179,2.300937,4.420237,
2011/1/17,,3.451033,,2.492172,,2.813932,6.345554,,1.962339,,,,8.597545,2.257704,3.943911,4.273934,2.389302,,2.905811,4.33248,,5.748805,,3.597215,2.271958,4.329659,
2011/1/18,,3.40376,,2.498765,,2.81638,6.461893,,1.966265,,,,8.570514,2.24869,3.972357,4.301047,2.389302,,3.020582,4.305166,,5.734841,,3.597215,2.277754,4.299466,
2011/1/19,,3.464545,,2.544916,,2.843368,6.595939,,1.993767,,,,8.638161,2.257704,4.011477,4.345108,2.417477,,3.0258,4.33248,,5.813971,,3.621197,2.300937,4.359851,
2011/1/20,,3.410513,,2.459207,,2.777128,6.388555,,1.938767,,,,8.46901,2.22616,3.851448,4.229873,2.355491,,2.963197,4.272383,,5.595193,,3.567238,2.266162,4.257196,
2011/1/21,,3.491554,,2.525137,,2.826195,6.649052,,1.980016,,,,8.597545,2.253194,3.922568,4.321386,2.349856,,2.911027,4.250531,,5.725532,,3.531266,2.254571,4.245118,
2011/1/24,,3.47805,,2.511951,,2.823742,6.661698,,1.985907,,,,8.509624,2.239676,3.88701,4.317995,2.316045,,2.858859,4.228674,,5.75346,,3.519275,2.219795,4.178694,
2011/1/25,,3.464545,,2.53173,,2.848276,6.765391,,2.013409,,,,8.543412,2.239676,3.940349,4.362056,2.304775,,2.817123,4.195897,,5.860518,,3.51328,2.248775,4.160578,
2011/1/26,,3.47805,,2.538323,,2.870357,6.757803,,2.021265,,,,8.597545,2.24869,4.011477,4.365447,2.31041,,2.82234,4.179509,,5.874482,,3.51328,2.248775,4.227002,
2011/1/27,,3.498313,,2.564696,,2.894891,6.719865,,2.038946,,,,8.597545,2.257704,4.025703,4.348497,2.287869,,2.801473,4.157651,,5.916381,,3.495294,2.248775,4.166617,
2011/1/28,,3.47805,,2.538323,,2.845822,6.595939,,2.005553,,,,8.516383,2.24869,3.954576,4.301047,2.282234,,2.733653,4.119411,,5.832591,,3.477309,2.225591,4.148501,
2011/1/31,,3.498313,,2.564696,,2.85073,6.575706,,2.009479,,,,8.543412,2.266717,3.965247,4.311216,2.282234,,2.754521,4.059314,,5.813971,,3.477309,2.225591,4.136424,
