"","WJ","CITIC","GY","EB","SH","BJ","ID.XY.","CS","NJ","HZ","JS","WX","Merchants","MS","HX","PD","BOC","HS","CRCB","BANKCOMM","JY","NB","PSBC","ICBC","ABC","CCB","PA"
"2019/10/16",1259.60554,67432.47042,5602.076969,47331.77357,22358.48579,27356.26011,71416.06849,1846.802242,13431.89028,10229.88033,20650.95832,1619.357852,74144.67587,66716.76905,30208.11938,70005.67756,227657.1969,11308.86547,10299.67608,99062.79411,1262.250451,13157.74381,102140.6143,301173.2984,248781.0551,254133.8405,39333.07072
"2019/10/17",1259.604492,67433.82626,5602.113064,47331.82143,22358.71852,27356.5269,71416.8372,1846.832199,13431.93669,10230.08447,20650.95118,1619.353365,74145.19897,66718.6868,30208.11506,70006.68912,227657.9562,11309.02296,10299.72563,99062.66592,1262.272707,13158.11034,102141.1133,301171.809,248781.0896,254138.1569,39334.15806
"2019/10/18",1259.603445,67435.1821,5602.149159,47331.86929,22358.95124,27356.79369,71417.60591,1846.862157,13431.9831,10230.28862,20650.94405,1619.348877,74145.72206,66720.60456,30208.11073,70007.70067,227658.7155,11309.18045,10299.77519,99062.53773,1262.294962,13158.47687,102141.6122,301170.3196,248781.124,254142.4733,39335.24541
"2019/10/21",1259.602397,67436.53794,5602.185254,47331.91714,22359.18396,27357.06048,71418.37461,1846.892115,13432.02951,10230.49276,20650.93691,1619.344389,74146.24516,66722.52231,30208.1064,70008.71223,227659.4748,11309.33794,10299.82474,99062.40954,1262.317218,13158.8434,102142.1112,301168.8302,248781.1584,254146.7897,39336.33275
"2019/10/22",1259.601349,67437.89378,5602.221349,47331.965,22359.41668,27357.32727,71419.14332,1846.922072,13432.07592,10230.69691,20650.92977,1619.339901,74146.76826,66724.44007,30208.10207,70009.72378,227660.2341,11309.49543,10299.87429,99062.28135,1262.339474,13159.20993,102142.6102,301167.3408,248781.1929,254151.1062,39337.4201
"2019/10/23",1259.600301,67439.24962,5602.257444,47332.01286,22359.6494,27357.59406,71419.91203,1846.95203,13432.12233,10230.90105,20650.92263,1619.335414,74147.29135,66726.35782,30208.09774,70010.73534,227660.9934,11309.65291,10299.92385,99062.15316,1262.361729,13159.57647,102143.1092,301165.8514,248781.2273,254155.4226,39338.50744
"2019/10/24",1259.599253,67440.60547,5602.293539,47332.06071,22359.88212,27357.86085,71420.68074,1846.981988,13432.16874,10231.1052,20650.91549,1619.330926,74147.81445,66728.27557,30208.09342,70011.74689,227661.7527,11309.8104,10299.9734,99062.02497,1262.383985,13159.943,102143.6081,301164.362,248781.2617,254159.739,39339.59479
"2019/10/25",1259.598205,67441.96131,5602.329633,47332.10857,22360.11484,27358.12764,71421.44945,1847.011945,13432.21515,10231.30934,20650.90836,1619.326438,74148.33755,66730.19333,30208.08909,70012.75845,227662.512,11309.96789,10300.02295,99061.89678,1262.406241,13160.30953,102144.1071,301162.8725,248781.2962,254164.0554,39340.68213
"2019/10/28",1259.597157,67443.31715,5602.365728,47332.15643,22360.34756,27358.39443,71422.21815,1847.041903,13432.26156,10231.51349,20650.90122,1619.32195,74148.86064,66732.11108,30208.08476,70013.77,227663.2713,11310.12538,10300.07251,99061.76859,1262.428496,13160.67606,102144.6061,301161.3831,248781.3306,254168.3718,39341.76948
"2019/10/29",1259.596109,67444.67299,5602.401823,47332.20429,22360.58028,27358.66122,71422.98686,1847.071861,13432.30797,10231.71763,20650.89408,1619.317462,74149.38374,66734.02883,30208.08043,70014.78156,227664.0306,11310.28287,10300.12206,99061.64039,1262.450752,13161.04259,102145.1051,301159.8937,248781.365,254172.6882,39342.85682
